missionprogress_id,started_at,lession_id,is_complete,completed_at
5476021,3/31/2022 0:00,453,FALSE,
5477545,3/31/2022 0:00,522,FALSE,
5476389,3/31/2022 0:00,605,TRUE,3/31/2022 13:04
5476073,3/31/2022 0:00,627,FALSE,
5475197,3/31/2022 0:00,577,FALSE,
5475515,3/31/2022 0:00,644,TRUE,3/31/2022 5:50
5476839,3/31/2022 0:00,575,TRUE,3/31/2022 15:30
5477481,3/31/2022 0:00,607,FALSE,
5476409,3/31/2022 0:00,521,FALSE,
5475070,3/31/2022 0:00,313,TRUE,3/31/2022 1:03
5475885,3/31/2022 0:00,1009,FALSE,
5476649,3/31/2022 0:00,432,TRUE,3/31/2022 14:42
5475066,3/31/2022 0:00,331,TRUE,3/31/2022 1:03
5476916,3/31/2022 0:00,610,TRUE,3/31/2022 15:51
5477654,3/31/2022 0:00,253,FALSE,
5475508,3/31/2022 0:00,647,TRUE,3/31/2022 5:50
5477662,3/31/2022 0:00,608,TRUE,3/31/2022 21:35
5475954,3/31/2022 0:00,192,FALSE,
5475042,3/31/2022 0:00,610,TRUE,3/31/2022 1:13
5477423,3/31/2022 0:00,516,TRUE,3/31/2022 18:49
5475429,3/31/2022 0:00,606,TRUE,3/31/2022 4:48
5475196,3/31/2022 0:00,605,TRUE,3/31/2022 3:19
5477696,3/31/2022 0:00,254,FALSE,
5476654,3/31/2022 0:00,433,TRUE,3/31/2022 14:42
5475891,3/31/2022 0:00,343,FALSE,
5475246,3/31/2022 0:00,606,TRUE,3/31/2022 3:20
5476800,3/31/2022 0:00,609,TRUE,3/31/2022 15:15
5476777,3/31/2022 0:00,645,TRUE,3/31/2022 16:29
5475138,3/31/2022 0:00,605,FALSE,
5477319,3/31/2022 0:00,606,TRUE,3/31/2022 18:54
5475522,3/31/2022 0:00,498,FALSE,
5475858,3/31/2022 0:00,520,TRUE,3/31/2022 8:25
5475501,3/31/2022 0:00,605,TRUE,3/31/2022 6:07
5475997,3/31/2022 0:00,607,TRUE,3/31/2022 19:35
5475708,3/31/2022 0:00,646,TRUE,3/31/2022 7:10
5476957,3/31/2022 0:00,646,TRUE,3/31/2022 16:03
5477222,3/31/2022 0:00,257,TRUE,3/31/2022 17:52
5475320,3/31/2022 0:00,609,TRUE,3/31/2022 3:40
5477410,3/31/2022 0:00,370,TRUE,3/31/2022 18:43
5477471,3/31/2022 0:00,139,FALSE,
5476670,3/31/2022 0:00,396,FALSE,
5475140,3/31/2022 0:00,517,FALSE,
5475510,3/31/2022 0:00,607,TRUE,3/31/2022 5:50
5476186,3/31/2022 0:00,522,TRUE,3/31/2022 11:10
5475504,3/31/2022 0:00,606,TRUE,3/31/2022 5:50
5477064,3/31/2022 0:00,608,FALSE,
5476751,3/31/2022 0:00,606,TRUE,3/31/2022 15:01
5475710,3/31/2022 0:00,642,TRUE,3/31/2022 7:10
5476518,3/31/2022 0:00,645,TRUE,3/31/2022 13:56
5476907,3/31/2022 0:00,607,FALSE,
5475713,3/31/2022 0:00,609,TRUE,3/31/2022 7:10
5475563,3/31/2022 0:00,644,TRUE,3/31/2022 6:11
5476207,3/31/2022 0:00,605,TRUE,3/31/2022 11:23
5475323,3/31/2022 0:00,283,FALSE,
5475185,3/31/2022 0:00,354,FALSE,
5476487,3/31/2022 0:00,605,FALSE,
5477478,3/31/2022 0:00,647,TRUE,3/31/2022 19:32
5475295,3/31/2022 0:00,514,TRUE,3/31/2022 3:27
5475203,3/31/2022 0:00,642,TRUE,3/31/2022 3:44
5476914,3/31/2022 0:00,609,TRUE,3/31/2022 15:51
5476933,3/31/2022 0:00,605,FALSE,
5477350,3/31/2022 0:00,393,FALSE,
5476300,3/31/2022 0:00,648,FALSE,
5477245,3/31/2022 0:00,610,TRUE,3/31/2022 17:35
5476953,3/31/2022 0:00,605,TRUE,3/31/2022 16:03
5475455,3/31/2022 0:00,607,FALSE,
5476750,3/31/2022 0:00,529,TRUE,3/31/2022 15:01
5476198,3/31/2022 0:00,1020,FALSE,
5475312,3/31/2022 0:00,291,TRUE,3/31/2022 6:20
5477013,3/31/2022 0:00,1008,TRUE,3/31/2022 18:08
5476362,3/31/2022 0:00,605,FALSE,
5477165,3/31/2022 0:00,574,TRUE,3/31/2022 17:46
5477102,3/31/2022 0:00,291,FALSE,
5475722,3/31/2022 0:00,606,TRUE,3/31/2022 7:23
5475648,3/31/2022 0:00,610,TRUE,3/31/2022 6:47
5477458,3/31/2022 0:00,387,TRUE,3/31/2022 20:30
5477055,3/31/2022 0:00,608,TRUE,3/31/2022 16:42
5477424,3/31/2022 0:00,605,FALSE,
5476954,3/31/2022 0:00,642,TRUE,3/31/2022 16:03
5476666,3/31/2022 0:00,106,TRUE,3/31/2022 14:46
5476203,3/31/2022 0:00,606,TRUE,3/31/2022 11:23
5475869,3/31/2022 0:00,610,TRUE,3/31/2022 8:29
5477251,3/31/2022 0:00,53,TRUE,3/31/2022 17:51
5476397,3/31/2022 0:00,140,TRUE,3/31/2022 13:10
5475600,3/31/2022 0:00,692,FALSE,
5475880,3/31/2022 0:00,477,TRUE,3/31/2022 11:49
5476441,3/31/2022 0:00,91,TRUE,3/31/2022 13:37
5474997,3/31/2022 0:00,291,FALSE,
5475851,3/31/2022 0:00,645,TRUE,3/31/2022 8:25
5477107,3/31/2022 0:00,641,FALSE,
5475991,3/31/2022 0:00,523,FALSE,
5475518,3/31/2022 0:00,610,TRUE,3/31/2022 5:50
5475355,3/31/2022 0:00,497,TRUE,3/31/2022 4:02
5477106,3/31/2022 0:00,605,FALSE,
5475922,3/31/2022 0:00,648,TRUE,3/31/2022 9:02
5477359,3/31/2022 0:00,607,TRUE,3/31/2022 18:19
5476185,3/31/2022 0:00,523,TRUE,3/31/2022 11:10
5476805,3/31/2022 0:00,643,FALSE,
5477688,3/31/2022 0:00,605,TRUE,3/31/2022 21:19
5474980,3/31/2022 0:00,609,FALSE,
5476862,3/31/2022 0:00,139,FALSE,
5476290,3/31/2022 0:00,189,FALSE,
5476734,3/31/2022 0:00,643,TRUE,3/31/2022 15:51
5476130,3/31/2022 0:00,605,FALSE,
5477582,3/31/2022 0:00,255,TRUE,3/31/2022 20:50
5475175,3/31/2022 0:00,609,TRUE,3/31/2022 2:19
5476492,3/31/2022 0:00,280,TRUE,3/31/2022 13:46
5475934,3/31/2022 0:00,645,TRUE,3/31/2022 9:04
